,eqid,evla,evlo,evdp,sta,stla,stlo,dis,mag
221,20110123154619,23.127,101.853,10.000,DBVB,21.390,103.018,226.747066705,4.1
222,20110123154619,23.127,101.853,10.000,MLVB,22.042,103.154,179.817096398,4.1
223,20110223155316,18.877,101.963,10.000,DBVB,21.390,103.018,299.270896867,4.4
224,20110507130155,20.774,103.105,16.100,TTVB,21.466,104.379,152.927734157,3.9
225,20110507130155,20.774,103.105,16.100,VTVB,22.252,104.899,247.646419192,3.9
226,20110507130155,20.774,103.105,16.100,SPVB,22.394,103.842,194.935548401,3.9
227,20110507130155,20.774,103.105,16.100,THVB,19.845,105.784,298.094319494,3.9
228,20110507130155,20.774,103.105,16.100,TGVB,21.592,103.418,96.2240315291,3.9
229,20110507130155,20.774,103.105,16.100,CCVB,19.057,104.856,264.078142881,3.9
230,20110507130155,20.774,103.105,16.100,MLVB,22.042,103.154,140.487900428,3.9
231,20110507130155,20.774,103.105,16.100,HBVB,20.842,105.328,231.541056322,3.9
232,20110507130155,20.774,103.105,16.100,DBVB,21.390,103.018,68.7989082418,3.9
233,20110521203116,22.881,103.699,10.000,TGVB,21.592,103.418,145.645224364,4.0
234,20110521203116,22.881,103.699,10.000,HBVB,20.842,105.328,281.639157737,4.0
235,20110521203116,22.881,103.699,10.000,MLVB,22.042,103.154,108.528046497,4.0
236,20110521203116,22.881,103.699,10.000,CBVB,22.660,106.271,265.259493849,4.0
237,20110521203116,22.881,103.699,10.000,VTVB,22.252,104.899,141.714504661,4.0
238,20110521203116,22.881,103.699,10.000,DBVB,21.390,103.018,179.426376078,4.0
239,20110521203116,22.881,103.699,10.000,DHVB,21.627,105.184,206.666108996,4.0
240,20110521203116,22.881,103.699,10.000,SPVB,22.394,103.842,55.8972974924,4.0
241,20110521203116,22.881,103.699,10.000,BCVB,21.885,105.772,240.285110524,4.0
242,20120508185044,22.423,102.244,8.100,VTVB,22.252,104.899,274.158568099,3.8
243,20120508185044,22.423,102.244,8.100,MLAV,22.042,103.154,102.864253831,3.8
244,20120508185044,22.423,102.244,8.100,TTVB,21.466,104.379,244.68194716,3.8
245,20120508185044,22.423,102.244,8.100,SPVB,22.394,103.842,164.566701377,3.8
246,20120508185044,22.423,102.244,8.100,TGVB,21.592,103.418,152.189927555,3.8
247,20121003031841,20.990,107.016,18.800,MCVB,20.833,104.648,246.956900107,4.5
248,20121003031841,20.990,107.016,18.800,VTVB,22.252,104.899,259.929070289,4.5
249,20121003031841,20.990,107.016,18.800,DHVB,21.627,105.184,202.740494522,4.5
250,20121003031841,20.990,107.016,18.800,BCVB,21.885,105.772,162.634296972,4.5
251,20121003031841,20.990,107.016,18.800,TTVB,21.466,104.379,278.774213808,4.5
252,20121003031841,20.990,107.016,18.800,BGVB,21.290,106.228,88.3345894309,4.5
253,20121003031841,20.990,107.016,18.800,MTVB,21.537,106.343,92.4487278795,4.5
254,20121003031841,20.990,107.016,18.800,LSVB,21.853,106.749,99.4822840751,4.5
255,20121003031841,20.990,107.016,18.800,HBVB,20.842,105.328,176.362028174,4.5
256,20121003031841,20.990,107.016,18.800,CBVB,22.660,106.271,200.314599798,4.5
257,20121107184204,21.005,106.916,20.900,VTVB,22.252,104.899,250.332427592,3.7
258,20121107184204,21.005,106.916,20.900,MCVB,20.833,104.648,236.697051399,3.7
259,20121107184204,21.005,106.916,20.900,CBVB,22.660,106.271,195.008744526,3.7
260,20121107184204,21.005,106.916,20.900,MTVB,21.537,106.343,83.7010671668,3.7
261,20121107184204,21.005,106.916,20.900,BCVB,21.885,105.772,153.479574067,3.7
262,20121107184204,21.005,106.916,20.900,HBVB,20.842,105.328,166.171094885,3.7
263,20121107184204,21.005,106.916,20.900,TTVB,21.466,104.379,268.253859186,3.7
264,20121107184204,21.005,106.916,20.900,DHVB,21.627,105.184,192.437999708,3.7
265,20121107184204,21.005,106.916,20.900,LSVB,21.853,106.749,95.4756093005,3.7
266,20121107184204,21.005,106.916,20.900,BGVB,21.290,106.228,78.1177376217,3.7
267,20130220050156,23.286,101.515,2.700,MLAV,22.042,103.154,217.601286766,4.2
268,20130220050156,23.286,101.515,2.700,TGVB,21.592,103.418,271.219499867,4.2
269,20130319014715,23.154,101.174,5.700,TGVB,21.592,103.418,288.658534615,3.7
270,20130319014715,23.154,101.174,5.700,MLAV,22.042,103.154,237.929318365,3.7
271,20131021151005,20.958,103.862,32.600,VR12,21.292,105.919,216.862847481,3.8
272,20131021151005,20.958,103.862,32.600,VR13,21.223,105.853,208.948641464,3.8
273,20131021151005,20.958,103.862,32.600,VR23,20.662,105.094,132.37316387,3.8
274,20131021151005,20.958,103.862,32.600,VR06,21.622,106.373,270.730579096,3.8
275,20131021151005,20.958,103.862,32.600,VR15,21.110,105.700,191.792919518,3.8
276,20131021151005,20.958,103.862,32.600,VR07,21.560,106.289,260.563563142,3.8
277,20131021151005,20.958,103.862,32.600,VR10,21.407,106.074,235.017144972,3.8
278,20131021151005,20.958,103.862,32.600,TGVB,21.592,103.418,83.9686260525,3.8
279,20131021151005,20.958,103.862,32.600,VR14,21.166,105.774,200.037894262,3.8
280,20131021151005,20.958,103.862,32.600,TTVB,21.466,104.379,77.7476897465,3.8
281,20131021151005,20.958,103.862,32.600,VR18,20.956,105.492,169.519657121,3.8
282,20131021151005,20.958,103.862,32.600,VR11,21.352,105.999,226.198570599,3.8
283,20131021151005,20.958,103.862,32.600,VR08,21.518,106.222,252.700112341,3.8
284,20131021151005,20.958,103.862,32.600,VR21,20.761,105.259,147.008566861,3.8
285,20131021151005,20.958,103.862,32.600,VR03,21.800,106.604,299.246446128,3.8
286,20131021151005,20.958,103.862,32.600,VR04,21.736,106.543,291.12496248,3.8
287,20131021151005,20.958,103.862,32.600,MLAV,22.042,103.154,140.668963053,3.8
288,20131021151005,20.958,103.862,32.600,PLVB,20.805,106.628,288.302900975,3.8
289,20131021151005,20.958,103.862,32.600,VR24,20.603,105.036,128.401560724,3.8
290,20131021151005,20.958,103.862,32.600,VR19,20.891,105.385,158.599375417,3.8
291,20131021151005,20.958,103.862,32.600,VR05,21.674,106.447,279.659881073,3.8
292,20131021151005,20.958,103.862,32.600,VR09,21.456,106.152,244.069061043,3.8
293,20131021151005,20.958,103.862,32.600,VR16,21.054,105.626,183.70323922,3.8
294,20131021151005,20.958,103.862,32.600,HBVB,20.842,105.328,153.061097578,3.8
295,20140128120157,22.576,101.201,21.100,TGVB,21.592,103.418,253.411721645,4.6
296,20140128120157,22.576,101.201,21.100,MLAV,22.042,103.154,209.736957899,4.6
297,20140128120221,21.661,102.850,0.000,VR19,20.891,105.385,276.541352309,3.6
298,20140128120221,21.661,102.850,0.000,VR21,20.761,105.259,269.225060652,3.6
299,20140128120221,21.661,102.850,0.000,VR25,20.519,104.973,254.257606845,3.6
300,20140128120221,21.661,102.850,0.000,VR18,20.956,105.492,285.013184451,3.6
301,20140128120221,21.661,102.850,0.000,VR23,20.662,105.094,257.967473679,3.6
302,20140128120221,21.661,102.850,0.000,HBVB,20.842,105.328,272.716100413,3.6
303,20140128120221,21.661,102.850,0.000,VR24,20.603,105.036,255.506891535,3.6
304,20140128120221,21.661,102.850,0.000,TGVB,21.592,103.418,59.2994326246,3.6
305,20140128120221,21.661,102.850,0.000,VR16,21.054,105.626,295.663231696,3.6
306,20140128120221,21.661,102.850,0.000,TTVB,21.466,104.379,159.830767177,3.6
307,20140128120221,21.661,102.850,0.000,MLAV,22.042,103.154,52.6047721255,3.6
308,20140501180850,21.608,101.051,10.000,MLAV,22.042,103.154,222.670722733,3.8
309,20140501180850,21.608,101.051,10.000,TGVB,21.592,103.418,245.105055155,3.8
310,20140626124410,21.249,102.872,0.300,HBVB,20.842,105.328,259.217363785,4.1
311,20140626124410,21.249,102.872,0.300,VR17,21.006,105.553,279.80017229,4.1
312,20140626124410,21.249,102.872,0.300,VR15,21.110,105.700,294.07431241,4.1
313,20140626124410,21.249,102.872,0.300,VR19,20.891,105.385,264.143163407,4.1
314,20140626124410,21.249,102.872,0.300,VR21,20.761,105.259,253.97922643,4.1
315,20140626124410,21.249,102.872,0.300,VR16,21.054,105.626,286.854420132,4.1
316,20140626124410,21.249,102.872,0.300,MLAV,22.042,103.154,92.5306266185,4.1
